BasisObjekt;Objekt;Type-Rolle;Værdi;UUID
Sag;Sag;Type;Sag;7f04a5f2-5437-4bf3-9605-46a5ba882bcc
Sag;Sag;Rolle;Oversag;d29c49f0-931e-4d42-8db4-a8fc67c8af58
Sag;Journalpost;Type;Dokument;198dd40f-88fe-49a3-8716-b6230544c23b
Sag;Journalpost;Rolle;Vedlagt;b21faed9-c4a2-49d3-aa15-35f5181d7735
Sag;Journalpost;Rolle;Tilakteret;69a0a697-0a77-4916-bea3-226594fa6627
Sag;Journalpost;Rolle;Journalnotat;1281739d-93ea-486c-8950-607a4263bef0
Sag;Sagsaktør;Type;Organisation;bc6972cd-8f2b-4b9d-8d37-62916d6a71aa
Sag;Sagsaktør;Type;OrgEnhed;c5fc3b3b-5197-49ee-92e6-ae6ba1957174
Sag;Sagsaktør;Type;OrgFunktion;aa9b7bdb-7148-4b5c-8fc9-97d6f9743270
Sag;Sagsaktør;Type;Interessefaellesskab;4b3652c6-cbdf-4699-b847-54b387db5d3f
Sag;Sagsaktør;Type;Bruger;85d65133-4b00-460d-992e-3984857b5768
Sag;Sagsaktør;Type;It-system;f659a5d2-6ad5-4bcc-acc0-da2eb2d8ba7b
Sag;Sagsaktør;Rolle;Ejer;
;;;;
Sag;Sagsarkiv;Type;Arkiv;94c2f5bb-649f-4a90-9b17-87fc74204b5a
;;;;
Sag;Sagsgenstand;Type;Ejendom;4c3949ee-d086-4637-9348-365775e2b188
;;;;
Sag;Attributliste;Kassation;B;
Sag;Attributliste;Kassation;K;
;;;;
Sag;Sagspart;Rolle;PrimaerPart;d839f26a-d4d1-4441-b2d6-3dbbb12a9404
Sag;It-system;Type;It-system;29fe1da2-897a-46cd-b635-b9be8e0bffd6
Sag;It-system;Rolle;Master;
Sag;It-system;Rolle;Afsender;
Sag;Sikkerhedsprofil;Type;Bruger;
Sag;Sikkerhedsprofil;Type;Organisation;
Sag;Sikkerhedsprofil;Type;OrgEnhed;
;;;;
Sag;Sikkerhedsprofil;Rolle;Adgang;
;;;;
Dokument;Dokument;Type;Dokument;
Dokument;Dokument;Rolle;Besvarelser;
Dokument;Dokument;Rolle;Udgangspunkter;
;;;;
;;;;
Dokument;Dokumentpart;Type;Person;12e3cd0d-03bb-46cf-b8d8-95b3fe082478
Dokument;Dokumentpart;Type;Virksomhed;d53c9233-f640-4641-8db8-15f45e2133d7
Dokument;Dokumentpart;Rolle;Parter;808a219f-fb0d-4a54-9519-929f7841bbb6
Dokument;Dokumentpart;Rolle;KopiParter;ffe7ec2b-4928-47a8-9a73-d7a9931b5621
